,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PYPL260320C00080000,2025-01-28 20:54:10+00:00,80.0,20.0,19.65,21.75,0.0,0.0,5,8,0.4841970526123047,True,REGULAR,USD
1,PYPL260320C00090000,2025-01-31 18:24:04+00:00,90.0,15.45,14.45,15.1,-0.39000034,-2.4621234,3,13,0.42035491760253907,False,REGULAR,USD
2,PYPL260320C00125000,2025-01-24 14:30:46+00:00,125.0,5.5,4.65,6.9,0.0,0.0,2,2,0.4514215014648438,False,REGULAR,USD
