,0
0,0.9435283530769824
1,0.9214112342068794
2,0.8988042881340407
3,0.8757050731532976
4,0.8521247491257583
5,0.8281344853951266
6,0.8037681216102309
7,0.7790777964873367
8,0.7540975750398371
9,0.7289287428555787
10,0.7036907051998433
11,0.6785311422112441
12,0.6536556215130246
13,0.6293261656989125
14,0.6058733805359007
15,0.5837060662501236
16,0.563321387182009
17,0.5453162425279754
18,0.5303741448972298
19,0.5191446504953929
20,0.5124528868329555
21,0.5108588524613689
22,0.5146885079342742
23,0.5245218621044173
24,0.54060942888056
25,0.5629576726842898
26,0.5914328296880982
27,0.6254910484940475
28,0.6646620655577575
29,0.7082028172932626
30,0.7554334305112951
31,0.8057173439707537
32,0.8586724229201704
33,0.913867562270689
34,0.9705684230644832
35,1.028754014057456
36,1.087820241552291
37,1.1472650563642548
38,1.2067279611601682
39,1.2657324240111902
40,1.3236351749560469
41,1.3804930480397606
42,1.4360405885222662
43,1.4900051011011564
44,1.5421075017869181
45,1.5921148148192839
46,1.639848832565693
47,1.6851582923169455
48,1.7279573114162237
49,1.7682174648658124
50,1.8059316527617575
