,0
0,0.9864746814287151
1,0.9805713766621289
2,0.9744618824018771
3,0.9681360028605397
4,0.9615755002053548
5,0.9547610472535453
6,0.9476722404593662
7,0.9402876372213657
8,0.9325848247846436
9,0.9245405268346263
10,0.9161321228530334
11,0.907334717349044
12,0.8981223859751302
13,0.8884703870495959
14,0.8783545416338873
15,0.867751805053195
16,0.8568434532775256
17,0.8460849413978215
18,0.8354979151152916
19,0.825086822824574
20,0.8148566686130884
21,0.8048161646495375
22,0.794972010018275
23,0.7853308760133085
24,0.7759023808536704
25,0.7666871449968768
26,0.7576851480755286
27,0.7489195470506983
28,0.7403979298105747
29,0.7321280333313573
30,0.7241196382105319
31,0.716381032395759
32,0.7089181623299876
33,0.701756998046978
34,0.6948688291029311
35,0.6882934143161382
36,0.6820347337193042
37,0.6760980883815818
38,0.6704975860618718
39,0.6652293973484567
40,0.6603071147174525
41,0.6557435167468907
42,0.6515424578244045
43,0.6477115736608394
44,0.6442653634342946
45,0.6411857364151311
46,0.63849955319233
47,0.6362025653882629
48,0.6343055204296462
49,0.6328264875770562
50,0.6317206828188303
