,0
0,0.6725826321166563
1,0.6553813025971714
2,0.6381850407835069
3,0.6209870568308969
4,0.6038097186833031
5,0.5866825887775262
6,0.5696329374794888
7,0.5526681846031244
8,0.5358735040875616
9,0.5191700322144036
10,0.5026630299855729
11,0.48642853984771517
12,0.47055974679017415
13,0.4550586868109695
14,0.43997688567381343
15,0.4255000141063264
16,0.4118206788748777
17,0.3994134059263803
18,0.3879306352220317
19,0.3775332701986107
20,0.3682726297321035
21,0.36028919648016594
22,0.3537012333433036
23,0.3484378777595423
24,0.34478983762898047
25,0.34283038062393445
26,0.3425933389660916
27,0.3440803645600592
28,0.3473164486419298
29,0.35252712558100596
30,0.35921146404748344
31,0.36739800034725373
32,0.3770693817045684
33,0.3879488220592769
34,0.39988592354076563
35,0.4129152124870714
36,0.42702140983507264
37,0.4420465897998174
38,0.4578244614425634
39,0.4742482853550559
40,0.4910589080393487
41,0.5083403253843292
42,0.5260804939153149
43,0.5442288197233972
44,0.5627736306431492
45,0.5813396342499197
46,0.5999820268204327
47,0.6186945824080163
48,0.6374220049081182
49,0.6561136677817969
50,0.674723276773847
