,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250207C00120000,2025-01-31 17:25:30+00:00,120.0,119.8,116.85,118.45,2.350006,2.0008566,9,32,2.665042399902344,True,REGULAR,USD
1,AMZN250207C00125000,2025-01-31 19:04:46+00:00,125.0,113.59,112.2,113.45,7.5399933,7.109847,128,2,1.96875015625,True,REGULAR,USD
2,AMZN250207C00135000,2025-01-31 15:31:57+00:00,135.0,103.9,101.9,103.4,5.7000046,5.804486,19,6,2.2285200537109366,True,REGULAR,USD
3,AMZN250207C00145000,2025-01-31 17:58:25+00:00,145.0,94.58,91.85,93.4,3.9900055,4.4044657,12,17,1.9814454052734376,True,REGULAR,USD
4,AMZN250207C00150000,2025-01-31 17:58:25+00:00,150.0,89.58,87.4,88.35,4.6200027,5.437856,121,23,1.5136743066406249,True,REGULAR,USD
5,AMZN250207C00155000,2025-01-31 18:36:38+00:00,155.0,83.58,82.25,83.3,3.7600021,4.7106013,184,12,1.2890660546875,True,REGULAR,USD
6,AMZN250207C00160000,2025-01-31 20:57:23+00:00,160.0,77.87,77.35,78.15,3.050003,4.076454,87,25161,1.16016044921875,True,REGULAR,USD
7,AMZN250207C00165000,2025-01-31 20:24:14+00:00,165.0,72.25,72.05,73.35,2.0699997,2.9495578,679,19,0.937500625,True,REGULAR,USD
8,AMZN250207C00170000,2025-01-31 20:58:05+00:00,170.0,68.0,67.35,68.35,1.949997,2.9523041,583,102,1.119145029296875,True,REGULAR,USD
9,AMZN250207C00175000,2025-01-31 19:17:08+00:00,175.0,63.84,62.1,63.4,3.3899994,5.6079392,111,70,0.9179695703125,True,REGULAR,USD
10,AMZN250207C00180000,2025-01-31 20:59:51+00:00,180.0,57.92,57.2,58.4,3.0999985,5.6548676,278,201,0.90429783203125,True,REGULAR,USD
11,AMZN250207C00185000,2025-01-31 20:54:21+00:00,185.0,53.0,52.25,53.45,0.45000076,0.8563288,188,287,0.867188828125,True,REGULAR,USD
12,AMZN250207C00190000,2025-01-31 20:54:21+00:00,190.0,48.0,47.45,48.5,3.1500015,7.023415,151,1213,0.860352958984375,True,REGULAR,USD
13,AMZN250207C00195000,2025-01-31 18:31:47+00:00,195.0,43.71,41.55,44.65,4.8099976,12.365032,17,87,0.8266618896484373,True,REGULAR,USD
14,AMZN250207C00200000,2025-01-31 20:53:16+00:00,200.0,38.0,37.65,38.4,2.3100014,6.4724054,285,1984,0.710940390625,True,REGULAR,USD
15,AMZN250207C00202500,2025-01-31 18:59:09+00:00,202.5,36.45,34.5,36.7,3.4500008,10.454547,56,613,0.694338994140625,True,REGULAR,USD
16,AMZN250207C00205000,2025-01-31 20:34:56+00:00,205.0,33.61,32.4,33.95,3.1100006,10.196723,104,449,0.6738313867187502,True,REGULAR,USD
17,AMZN250207C00207500,2025-01-31 19:58:31+00:00,207.5,31.28,29.8,32.6,2.0300007,6.940173,11,257,0.7475611181640626,True,REGULAR,USD
18,AMZN250207C00210000,2025-01-31 20:57:47+00:00,210.0,28.5,27.7,29.0,2.7999992,10.894938,217,631,0.6264685791015626,True,REGULAR,USD
