,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250307C00185000,2025-01-31 15:38:17+00:00,185.0,54.98,53.25,55.55,5.029999,10.070067,2,1,0.6118202880859377,True,REGULAR,USD
1,AMZN250307C00200000,2025-01-31 20:25:57+00:00,200.0,39.09,38.35,40.65,2.920002,8.072994,4,23,0.5474898767089844,True,REGULAR,USD
2,AMZN250307C00205000,2025-01-31 19:51:02+00:00,205.0,35.95,33.9,35.65,2.5499992,7.634728,12,75,0.4928029235839845,True,REGULAR,USD
3,AMZN250307C00210000,2025-01-31 18:47:32+00:00,210.0,31.35,30.0,31.0,2.7700005,9.692095,6,30,0.45703667968750006,True,REGULAR,USD
4,AMZN250307C00215000,2025-01-31 17:17:27+00:00,215.0,27.5,25.8,27.2,2.5499992,10.220437,3,32,0.45795219787597663,True,REGULAR,USD
5,AMZN250307C00220000,2025-01-31 18:10:39+00:00,220.0,22.62,21.3,23.2,2.1000004,10.233919,28,46,0.4393976959228516,True,REGULAR,USD
6,AMZN250307C00225000,2025-01-31 19:37:59+00:00,225.0,19.0,18.25,19.75,1.2000008,6.7415776,39,210,0.43396562133789063,True,REGULAR,USD
7,AMZN250307C00230000,2025-01-31 20:48:18+00:00,230.0,15.81,15.4,15.55,1.8100004,12.928575,14,253,0.3913024737548828,True,REGULAR,USD
8,AMZN250307C00235000,2025-01-31 20:51:53+00:00,235.0,12.45,12.45,12.65,1.4499998,13.181817,274,16390,0.3858093646240234,True,REGULAR,USD
9,AMZN250307C00240000,2025-01-31 20:59:40+00:00,240.0,10.0,9.95,10.05,1.3100004,15.074804,541,17136,0.37879039184570307,False,REGULAR,USD
10,AMZN250307C00245000,2025-01-31 20:48:54+00:00,245.0,7.85,7.8,7.85,1.0999999,16.296295,165,275,0.373480386352539,False,REGULAR,USD
11,AMZN250307C00250000,2025-01-31 20:59:56+00:00,250.0,6.0,5.9,6.05,0.8499999,16.504852,150,759,0.3701845208740234,False,REGULAR,USD
12,AMZN250307C00255000,2025-01-31 20:53:25+00:00,255.0,4.6,4.45,4.55,0.46000004,11.111113,61,800,0.3660952062988281,False,REGULAR,USD
13,AMZN250307C00260000,2025-01-31 20:56:33+00:00,260.0,3.35,3.25,3.35,0.3399999,11.295678,74,433,0.362311064453125,False,REGULAR,USD
14,AMZN250307C00265000,2025-01-31 20:53:55+00:00,265.0,2.45,2.37,2.44,0.29999995,13.953486,93,178,0.3601138208007812,False,REGULAR,USD
15,AMZN250307C00270000,2025-01-31 19:44:35+00:00,270.0,1.75,1.7,1.77,0.30999994,21.527773,98,99,0.3597476135253906,False,REGULAR,USD
16,AMZN250307C00275000,2025-01-31 20:49:44+00:00,275.0,1.26,1.2,1.27,0.13999999,12.499998,59,180,0.3597476135253906,False,REGULAR,USD
17,AMZN250307C00285000,2025-01-31 18:43:38+00:00,285.0,0.67,0.6,0.65,0.15000004,28.846163,88,107,0.362311064453125,False,REGULAR,USD
