,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN260320P00120000,2025-01-30 19:56:17+00:00,120.0,1.21,0.12,1.21,0.0,0.0,1,23,0.37720349365234374,False,REGULAR,USD
1,AMZN260320P00180000,2025-01-30 16:37:51+00:00,180.0,7.75,6.4,7.5,0.0,0.0,1,43,0.30951618225097655,False,REGULAR,USD
2,AMZN260320P00190000,2025-01-31 20:43:42+00:00,190.0,9.46,7.85,11.5,-0.09000015,-0.94240993,20,21,0.32697206237792964,False,REGULAR,USD
3,AMZN260320P00200000,2025-01-31 18:53:33+00:00,200.0,11.65,10.4,12.5,-0.5500002,-4.5081983,104,27,0.2960580648803711,False,REGULAR,USD
4,AMZN260320P00205000,2025-01-28 19:44:32+00:00,205.0,12.55,11.1,13.9,0.0,0.0,10,11,0.2910532321166991,False,REGULAR,USD
5,AMZN260320P00235000,2025-01-31 19:11:10+00:00,235.0,24.75,23.8,27.45,0.0,0.0,32,2,0.2881235739135741,False,REGULAR,USD
6,AMZN260320P00260000,2025-01-31 15:11:43+00:00,260.0,37.89,36.0,41.0,1.3400002,3.6662111,4,15,0.27080502151489255,True,REGULAR,USD
7,AMZN260320P00295000,2025-01-24 14:57:43+00:00,295.0,63.6,60.5,65.0,0.0,0.0,5,5,0.24332421722412106,True,REGULAR,USD
