,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN270617P00110000,2025-01-30 16:43:14+00:00,110.0,2.6,0.92,5.0,0.0,0.0,5.0,36,0.40274645111083984,False,REGULAR,USD
1,AMZN270617P00115000,2025-01-28 20:43:17+00:00,115.0,2.89,1.0,5.5,0.09000015,3.2142913,1.0,18,0.3938964419555664,False,REGULAR,USD
2,AMZN270617P00120000,2025-01-28 18:32:38+00:00,120.0,3.35,2.6,4.75,0.0,0.0,3.0,11,0.359106750793457,False,REGULAR,USD
3,AMZN270617P00125000,2025-01-28 18:32:52+00:00,125.0,3.8,2.84,4.65,0.0,0.0,7.0,7,0.339301040649414,False,REGULAR,USD
4,AMZN270617P00130000,2025-01-30 17:48:51+00:00,130.0,4.5,2.33,5.55,0.0,0.0,23.0,61,0.3396367306518554,False,REGULAR,USD
5,AMZN270617P00135000,2025-01-28 17:43:30+00:00,135.0,4.8,2.79,5.45,0.0,0.0,6.0,47,0.32080757324218745,False,REGULAR,USD
6,AMZN270617P00140000,2025-01-30 19:32:32+00:00,140.0,5.97,4.35,5.95,0.0,0.0,5.0,49,0.3129951513671875,False,REGULAR,USD
7,AMZN270617P00145000,2025-01-29 16:24:51+00:00,145.0,6.3,5.7,6.85,0.0,0.0,1.0,26,0.31098101135253897,False,REGULAR,USD
8,AMZN270617P00150000,2025-01-31 18:06:40+00:00,150.0,6.9,6.3,7.7,0.09000015,1.3215882,8.0,18,0.3071053176879882,False,REGULAR,USD
9,AMZN270617P00155000,2025-01-31 15:17:13+00:00,155.0,7.95,6.9,8.55,-0.65999985,-7.665504,1.0,16,0.30240565765380856,False,REGULAR,USD
10,AMZN270617P00160000,2025-01-29 16:55:13+00:00,160.0,9.0,8.0,9.25,0.0,0.0,1.0,33,0.2951120294189453,False,REGULAR,USD
11,AMZN270617P00165000,2025-01-30 16:43:40+00:00,165.0,10.5,9.0,10.9,0.0,0.0,2.0,24,0.2985147053527832,False,REGULAR,USD
12,AMZN270617P00170000,2025-01-31 20:13:10+00:00,170.0,10.65,10.1,11.8,-3.0500002,-22.262775,1.0,27,0.2921213366699218,False,REGULAR,USD
13,AMZN270617P00175000,2025-01-28 17:37:35+00:00,175.0,11.94,11.5,12.95,0.0,0.0,14.0,84,0.287818401184082,False,REGULAR,USD
14,AMZN270617P00180000,2025-01-29 20:19:28+00:00,180.0,13.36,11.0,14.3,-0.24000072,-1.7647111,1.0,38,0.28482770843505856,False,REGULAR,USD
15,AMZN270617P00185000,2025-01-31 16:39:42+00:00,185.0,14.7,12.85,15.75,-0.15999985,-1.076715,1.0,20,0.2819743434143066,False,REGULAR,USD
16,AMZN270617P00190000,2025-01-30 20:14:54+00:00,190.0,16.77,14.0,17.1,0.0,0.0,17.0,28,0.27744252838134764,False,REGULAR,USD
17,AMZN270617P00195000,2025-01-30 15:18:36+00:00,195.0,16.5,16.85,18.75,0.0,0.0,1.0,5,0.2748790774536133,False,REGULAR,USD
18,AMZN270617P00200000,2025-01-31 17:28:53+00:00,200.0,19.17,17.0,20.45,-0.94000053,-4.674294,2.0,485,0.2719494192504882,False,REGULAR,USD
19,AMZN270617P00205000,2025-01-28 19:30:02+00:00,205.0,20.91,19.0,22.25,0.0,0.0,65.0,67,0.2690960542297363,False,REGULAR,USD
20,AMZN270617P00210000,2025-01-31 18:21:10+00:00,210.0,23.3,20.55,23.85,-1.6000004,-6.425704,19.0,91,0.2639691523742676,False,REGULAR,USD
21,AMZN270617P00215000,2025-01-31 19:06:00+00:00,215.0,25.0,24.2,27.5,-0.75,-2.9126213,52.0,236,0.27376519699096674,False,REGULAR,USD
22,AMZN270617P00220000,2025-01-31 15:39:22+00:00,220.0,26.7,25.0,27.75,-0.29999924,-1.1111083,3.0,58,0.25713328323364254,False,REGULAR,USD
23,AMZN270617P00225000,2025-01-31 18:51:02+00:00,225.0,28.91,26.5,31.5,-0.7399998,-2.4957833,2.0,79,0.2657391542053223,False,REGULAR,USD
24,AMZN270617P00230000,2025-01-30 15:18:38+00:00,230.0,31.25,29.0,34.0,-0.6000004,-1.8838316,1.0,112,0.26436587692260743,False,REGULAR,USD
25,AMZN270617P00235000,2025-01-31 14:59:35+00:00,235.0,33.32,31.0,34.6,-1.7099991,-4.881528,1.0,129,0.24895465408325196,False,REGULAR,USD
26,AMZN270617P00240000,2025-01-31 20:11:37+00:00,240.0,36.16,33.5,36.95,-0.040000916,-0.11049976,3.0,63,0.24531546928405762,True,REGULAR,USD
