,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250214C00120000,2025-01-31 20:44:20+00:00,120.0,117.79,117.45,118.45,3.7200012,3.2611566,5.0,2,1.5996113769531248,True,REGULAR,USD
1,AMZN250214C00125000,2025-01-13 16:23:57+00:00,125.0,92.72,111.7,113.5,0.0,0.0,,1,1.804200197753906,True,REGULAR,USD
2,AMZN250214C00135000,2025-01-24 16:53:19+00:00,135.0,99.63,101.75,103.45,0.0,0.0,1.0,1,1.5947285888671874,True,REGULAR,USD
3,AMZN250214C00140000,2025-01-13 16:26:09+00:00,140.0,77.84,97.3,98.7,0.0,0.0,,1,1.3017613037109372,True,REGULAR,USD
4,AMZN250214C00150000,2025-01-30 16:32:18+00:00,150.0,84.03,87.45,88.45,0.0,0.0,10.0,13,1.12109814453125,True,REGULAR,USD
5,AMZN250214C00155000,2025-01-29 14:48:32+00:00,155.0,85.01,81.8,83.8,2.6500015,3.2175832,2.0,64,0.93945373046875,True,REGULAR,USD
6,AMZN250214C00160000,2025-01-28 20:37:16+00:00,160.0,79.26,76.8,78.5,0.0,0.0,10.0,12,1.1865275048828123,True,REGULAR,USD
7,AMZN250214C00165000,2025-01-21 18:13:50+00:00,165.0,74.0,71.8,73.7,6.5899963,9.775991,1.0,3,0.7617211328125001,True,REGULAR,USD
8,AMZN250214C00170000,2025-01-31 19:21:23+00:00,170.0,68.47,66.9,68.75,-1.4599991,-2.0878007,17.0,7,0.7744163183593751,True,REGULAR,USD
9,AMZN250214C00175000,2025-01-31 19:10:50+00:00,175.0,63.79,62.4,63.6,3.2700005,5.4031734,918.0,7212,0.805666005859375,True,REGULAR,USD
10,AMZN250214C00180000,2025-01-31 20:26:51+00:00,180.0,57.67,57.55,58.6,4.5199966,8.504227,67.0,1317,0.7685570019531252,True,REGULAR,USD
11,AMZN250214C00185000,2025-01-31 18:55:13+00:00,185.0,53.72,52.05,53.85,3.290001,6.523896,11.0,46,0.659183095703125,True,REGULAR,USD
12,AMZN250214C00190000,2025-01-31 19:55:45+00:00,190.0,49.4,47.2,48.9,-0.8999977,-1.7892599,11.0,240,0.632816171875,True,REGULAR,USD
13,AMZN250214C00195000,2025-01-31 20:06:27+00:00,195.0,43.22,41.9,44.2,2.7200012,6.7160525,7.0,85,0.5708050732421875,True,REGULAR,USD
14,AMZN250214C00200000,2025-01-31 20:26:51+00:00,200.0,38.29,37.4,39.15,2.4400024,6.8061438,32.0,276,0.5607954077148438,True,REGULAR,USD
15,AMZN250214C00205000,2025-01-31 20:48:20+00:00,205.0,34.11,32.6,34.2,2.7600002,8.803828,76.0,121,0.51758294921875,True,REGULAR,USD
16,AMZN250214C00210000,2025-01-31 20:30:24+00:00,210.0,28.85,28.8,29.55,2.1499996,8.052433,35.0,126,0.5500533276367189,True,REGULAR,USD
17,AMZN250214C00215000,2025-01-31 20:22:28+00:00,215.0,24.5,24.25,25.25,1.7999992,7.929512,16.0,218,0.5288133056640626,True,REGULAR,USD
18,AMZN250214C00220000,2025-01-31 20:51:14+00:00,220.0,20.9,20.4,20.8,2.5499992,13.896453,204.0,811,0.513554669189453,True,REGULAR,USD
19,AMZN250214C00225000,2025-01-31 20:51:13+00:00,225.0,17.0,16.75,16.9,1.0900002,6.851038,163.0,827,0.5046436254882812,True,REGULAR,USD
20,AMZN250214C00230000,2025-01-31 20:43:47+00:00,230.0,13.49,13.35,13.5,1.7699995,15.102385,435.0,1289,0.501103621826172,True,REGULAR,USD
21,AMZN250214C00235000,2025-01-31 20:54:50+00:00,235.0,10.45,10.45,10.55,1.3000002,14.207652,575.0,3330,0.49561051269531253,True,REGULAR,USD
22,AMZN250214C00240000,2025-01-31 20:59:34+00:00,240.0,8.1,7.9,8.05,1.3500004,20.000004,1693.0,2487,0.49121602539062503,False,REGULAR,USD
23,AMZN250214C00245000,2025-01-31 20:59:29+00:00,245.0,6.02,5.8,5.95,0.9899998,19.681904,622.0,2465,0.485356708984375,False,REGULAR,USD
24,AMZN250214C00250000,2025-01-31 20:59:40+00:00,250.0,4.28,4.15,4.25,0.7800002,22.28572,1449.0,2745,0.47876497802734375,False,REGULAR,USD
25,AMZN250214C00255000,2025-01-31 20:59:43+00:00,255.0,2.95,2.86,2.92,0.45000005,18.000002,695.0,2340,0.4714408325195312,False,REGULAR,USD
26,AMZN250214C00260000,2025-01-31 20:57:52+00:00,260.0,2.0,1.91,1.97,0.36,21.95122,1740.0,1424,0.467778759765625,False,REGULAR,USD
27,AMZN250214C00265000,2025-01-31 20:47:58+00:00,265.0,1.28,1.25,1.3,0.15999997,14.285711,801.0,969,0.4655815161132813,False,REGULAR,USD
28,AMZN250214C00270000,2025-01-31 20:58:58+00:00,270.0,0.83,0.81,0.84,0.099999964,13.698625,608.0,629,0.4643608251953125,False,REGULAR,USD
29,AMZN250214C00275000,2025-01-31 20:49:15+00:00,275.0,0.53,0.51,0.55,0.059999973,12.765951,720.0,418,0.4670463452148438,False,REGULAR,USD
30,AMZN250214C00280000,2025-01-31 20:51:19+00:00,280.0,0.35,0.33,0.36,0.00999999,2.9411736,411.0,335,0.47119669433593747,False,REGULAR,USD
31,AMZN250214C00285000,2025-01-31 20:35:37+00:00,285.0,0.23,0.21,0.24,0.010000005,4.545457,95.0,171,0.4770560107421875,False,REGULAR,USD
32,AMZN250214C00290000,2025-01-31 20:59:20+00:00,290.0,0.15,0.14,0.17,-0.019999996,-11.764703,182.0,286,0.48779809082031256,False,REGULAR,USD
33,AMZN250214C00295000,2025-01-31 15:48:16+00:00,295.0,0.1,0.09,0.12,-0.019999996,-16.666662,40.0,111,0.49805189453125004,False,REGULAR,USD
34,AMZN250214C00300000,2025-01-31 18:07:22+00:00,300.0,0.08,0.07,0.09,-0.020000003,-20.000002,227.0,1322,0.5039112109375,False,REGULAR,USD
35,AMZN250214C00305000,2025-01-31 17:25:14+00:00,305.0,0.08,0.04,0.07,0.0,0.0,2.0,12,0.5117236328125,False,REGULAR,USD
36,AMZN250214C00310000,2025-01-31 18:57:24+00:00,310.0,0.05,0.04,0.05,0.010000002,25.000004,5.0,115,0.5273484765625001,False,REGULAR,USD
37,AMZN250214C00315000,2025-01-28 16:00:13+00:00,315.0,0.05,0.02,0.04,0.0,0.0,5.0,27,0.5312546875,False,REGULAR,USD
38,AMZN250214C00320000,2025-01-31 14:51:04+00:00,320.0,0.04,0.01,0.04,0.01,33.333336,1.0,114,0.5468795312500001,False,REGULAR,USD
39,AMZN250214C00330000,2025-01-31 14:33:35+00:00,330.0,0.03,0.0,0.03,0.01,50.0,20.0,167,0.570316796875,False,REGULAR,USD
