,0
0,4.0222782929016585
1,3.926189459373629
2,3.82671286850182
3,3.7237829165879615
4,3.6173050497531327
5,3.507234803416574
6,3.3935506762464964
7,3.2763120475136933
8,3.155661756268489
9,3.0318743261767716
10,2.9053393684277347
11,2.7763096990128577
12,2.6454192179005744
13,2.5137095699628613
14,2.382329094606779
15,2.25301485199896
16,2.1276334611454972
17,2.008966815851554
18,1.8996768244221565
19,1.8037853266408737
20,1.7261230059675603
21,1.6718939168207252
22,1.6440493904763884
23,1.6449193420729735
24,1.6767236620326924
25,1.7391539350878258
26,1.8291242457589572
27,1.9435039340983602
28,2.0777975271267817
29,2.224895416978948
30,2.384392254649943
31,2.553309435502061
32,2.7296564421545995
33,2.910066961514444
34,3.0924466665972106
35,3.2762396161268135
36,3.4587124529573905
37,3.638012380149027
38,3.8143527362025123
39,3.9877128031080944
40,4.156961149355188
41,4.32163012825068
42,4.48136840483319
43,4.635787240862374
44,4.7842754712297655
45,4.92655002111974
46,5.062409335129127
47,5.191755930875541
48,5.314578228506964
49,5.430939640665587
50,5.540964367664388
