,0
0,2.9537306493065705
1,2.9015847623318503
2,2.8510262181988377
3,2.80226424449358
4,2.7559334514479277
5,2.7124024245397966
6,2.6722650989442904
7,2.635993783886013
8,2.6027891387927284
9,2.573200810632022
10,2.5491216112257553
11,2.531051214227067
12,2.5197421643424156
13,2.516145223823909
14,2.520984548515304
15,2.5337716534393464
16,2.5549754574423917
17,2.5847390592579114
18,2.6200707875885025
19,2.663343168671683
20,2.715681471566292
21,2.7758781688987684
22,2.844103626707194
23,2.9200766077416285
24,3.0035854569312086
25,3.093759312825043
26,3.1877385801466076
27,3.2856743652773814
28,3.386380197285856
29,3.491463215304117
30,3.5983014503966517
31,3.708006579632512
32,3.819868832763756
33,3.933464054156151
34,4.048172568223049
35,4.1623809242065555
36,4.274499797242812
37,4.385176980096394
38,4.494496139015285
39,4.601853302588732
40,4.707142299489006
41,4.809751334548252
42,4.9091320487064145
43,5.005000568297813
44,5.0971382670973435
45,5.185304767217076
46,5.269328576076098
47,5.349096388751557
48,5.424550481310424
49,5.495689164862019
50,5.562553588078265
