,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250221P00085000,2025-01-21 14:53:00+00:00,85.0,0.01,0.0,0.01,0.0,0.0,1.0,189,1.125004375,False,REGULAR,USD
1,AMZN250221P00090000,2024-12-26 19:23:36+00:00,90.0,0.02,0.0,0.02,0.0,0.0,32.0,355,1.125004375,False,REGULAR,USD
2,AMZN250221P00095000,2025-01-22 15:41:50+00:00,95.0,0.01,0.0,0.02,0.0,0.0,8.0,128,1.0625046875000002,False,REGULAR,USD
3,AMZN250221P00100000,2025-01-24 20:02:27+00:00,100.0,0.01,0.0,0.02,0.0,0.0,566.0,137,1.000005,False,REGULAR,USD
4,AMZN250221P00105000,2025-01-14 19:35:30+00:00,105.0,0.03,0.0,0.02,0.0,0.0,1.0,191,0.9531254687499999,False,REGULAR,USD
5,AMZN250221P00110000,2025-01-22 15:55:46+00:00,110.0,0.01,0.0,0.02,0.0,0.0,3.0,1110,0.8906260937499999,False,REGULAR,USD
6,AMZN250221P00115000,2025-01-24 20:43:50+00:00,115.0,0.02,0.0,0.02,0.0,0.0,1853.0,3367,0.8437515624999999,False,REGULAR,USD
7,AMZN250221P00120000,2025-01-21 17:37:26+00:00,120.0,0.02,0.01,0.02,0.0,0.0,1.0,3362,0.8281267187499999,False,REGULAR,USD
8,AMZN250221P00125000,2025-01-23 19:05:32+00:00,125.0,0.02,0.01,0.02,0.0,0.0,3.0,5278,0.7812521875,False,REGULAR,USD
9,AMZN250221P00130000,2025-01-24 14:57:16+00:00,130.0,0.02,0.01,0.02,-0.01,-33.333336,36.0,7362,0.73437765625,False,REGULAR,USD
10,AMZN250221P00135000,2025-01-24 15:27:49+00:00,135.0,0.02,0.02,0.04,0.0,0.0,43.0,5105,0.73437765625,False,REGULAR,USD
11,AMZN250221P00140000,2025-01-24 17:33:31+00:00,140.0,0.04,0.03,0.05,0.01,33.333336,2.0,5657,0.710940390625,False,REGULAR,USD
12,AMZN250221P00145000,2025-01-24 14:49:58+00:00,145.0,0.05,0.03,0.05,0.0,0.0,20.0,4567,0.6660189648437502,False,REGULAR,USD
13,AMZN250221P00150000,2025-01-24 19:43:08+00:00,150.0,0.06,0.05,0.07,0.0,0.0,27.0,4175,0.65039412109375,False,REGULAR,USD
14,AMZN250221P00155000,2025-01-24 20:08:21+00:00,155.0,0.09,0.07,0.09,0.010000005,12.500008,20.0,3893,0.6279334082031252,False,REGULAR,USD
15,AMZN250221P00160000,2025-01-24 20:16:45+00:00,160.0,0.11,0.09,0.11,0.009999998,9.999998,32.0,4127,0.6005899316406251,False,REGULAR,USD
16,AMZN250221P00165000,2025-01-24 20:55:00+00:00,165.0,0.14,0.12,0.14,0.010000005,7.6923122,33.0,2493,0.57617611328125,False,REGULAR,USD
17,AMZN250221P00170000,2025-01-24 20:40:21+00:00,170.0,0.18,0.15,0.18,0.010000005,5.882356,50.0,4520,0.5507857421875001,False,REGULAR,USD
18,AMZN250221P00175000,2025-01-24 20:00:03+00:00,175.0,0.24,0.2,0.23,0.030000001,14.285715,737.0,3395,0.5273484765625001,False,REGULAR,USD
19,AMZN250221P00180000,2025-01-24 20:59:07+00:00,180.0,0.27,0.26,0.28,0.0,0.0,141.0,7711,0.5009815527343751,False,REGULAR,USD
20,AMZN250221P00185000,2025-01-24 20:08:54+00:00,185.0,0.4,0.34,0.37,0.030000001,8.1081085,147.0,5893,0.4819387744140625,False,REGULAR,USD
21,AMZN250221P00190000,2025-01-24 20:59:46+00:00,190.0,0.47,0.46,0.49,-0.02000001,-4.081635,256.0,8669,0.459966337890625,False,REGULAR,USD
22,AMZN250221P00195000,2025-01-24 20:59:36+00:00,195.0,0.63,0.62,0.65,-0.00999999,-1.5624986,51.0,8060,0.4382380395507813,False,REGULAR,USD
23,AMZN250221P00200000,2025-01-24 20:58:59+00:00,200.0,0.87,0.85,0.89,-0.01999998,-2.247189,334.0,11904,0.4194393994140625,False,REGULAR,USD
24,AMZN250221P00202500,2025-01-24 19:58:07+00:00,202.5,1.15,1.01,1.05,1.15,,21.0,593,0.411138701171875,False,REGULAR,USD
25,AMZN250221P00205000,2025-01-24 20:56:52+00:00,205.0,1.22,1.2,1.24,0.0,0.0,257.0,5087,0.40296007202148443,False,REGULAR,USD
26,AMZN250221P00207500,2025-01-24 19:48:22+00:00,207.5,1.63,1.43,1.48,1.63,,27.0,112,0.39624627197265627,False,REGULAR,USD
27,AMZN250221P00210000,2025-01-24 20:58:38+00:00,210.0,1.72,1.72,1.76,0.0,0.0,376.0,7297,0.3895324719238281,False,REGULAR,USD
28,AMZN250221P00212500,2025-01-24 20:25:54+00:00,212.5,2.29,2.05,2.11,2.29,,102.0,272,0.38440557006835935,False,REGULAR,USD
29,AMZN250221P00215000,2025-01-24 20:59:19+00:00,215.0,2.48,2.46,2.52,0.01999998,0.81300735,1600.0,7900,0.3792786682128906,False,REGULAR,USD
30,AMZN250221P00217500,2025-01-24 20:59:53+00:00,217.5,2.98,2.95,3.05,2.98,,133.0,182,0.3773255627441406,False,REGULAR,USD
31,AMZN250221P00220000,2025-01-24 20:58:15+00:00,220.0,3.52,3.5,3.6,0.029999971,0.85959804,691.0,14930,0.37219866088867193,False,REGULAR,USD
