,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250131C00120000,2025-01-24 18:05:23+00:00,120.0,114.05,112.8,115.8,9.800003,9.400482,8.0,13.0,2.949221376953125,True,REGULAR,USD
1,AMZN250131C00125000,2025-01-24 20:29:25+00:00,125.0,108.63,108.75,110.8,-0.2800064,-0.25709888,99.0,39.0,2.7910186474609375,True,REGULAR,USD
2,AMZN250131C00130000,2025-01-24 17:31:32+00:00,130.0,103.93,103.55,105.8,-0.099998474,-0.09612465,1.0,403.0,2.6386752783203127,True,REGULAR,USD
3,AMZN250131C00135000,2025-01-24 19:50:36+00:00,135.0,98.5,98.0,100.8,7.199997,7.8860865,19.0,27.0,2.491214709472656,True,REGULAR,USD
4,AMZN250131C00140000,2025-01-24 20:18:42+00:00,140.0,93.55,92.85,95.8,7.0200043,8.112799,800.0,9.0,2.349613500976562,True,REGULAR,USD
5,AMZN250131C00145000,2025-01-24 19:10:05+00:00,145.0,88.27,87.55,90.8,1.7699966,2.046239,11.0,24.0,2.2119185327148427,True,REGULAR,USD
6,AMZN250131C00150000,2025-01-24 20:05:36+00:00,150.0,83.65,82.85,85.8,-1.3699951,-1.6113799,1.0,32.0,2.0791063647460932,True,REGULAR,USD
7,AMZN250131C00155000,2025-01-24 20:53:33+00:00,155.0,79.43,78.6,80.8,10.900002,15.905446,21.0,51.0,1.9492190039062502,True,REGULAR,USD
8,AMZN250131C00160000,2025-01-24 20:41:35+00:00,160.0,73.82,72.85,75.8,-0.62999725,-0.84620184,6.0,21.0,1.8232430712890624,True,REGULAR,USD
9,AMZN250131C00165000,2025-01-22 19:54:13+00:00,165.0,68.65,68.9,70.85,0.0,0.0,600.0,624.0,1.0078174609375,True,REGULAR,USD
10,AMZN250131C00170000,2025-01-24 20:43:57+00:00,170.0,64.06,64.05,65.8,-1.090004,-1.6730683,105.0,620.0,1.0546922265625,True,REGULAR,USD
11,AMZN250131C00175000,2025-01-24 17:22:17+00:00,175.0,59.05,59.4,60.6,4.2199974,7.6965117,3.0,6039.0,1.0605515722656251,True,REGULAR,USD
12,AMZN250131C00180000,2025-01-24 19:50:28+00:00,180.0,53.49,54.6,55.85,1.4900017,2.865388,47.0,126.0,1.123051259765625,True,REGULAR,USD
13,AMZN250131C00185000,2025-01-24 20:57:12+00:00,185.0,50.2,48.9,50.4,0.70000076,1.414143,40.0,379.0,1.1005904345703126,True,REGULAR,USD
14,AMZN250131C00190000,2025-01-24 20:55:00+00:00,190.0,44.8,44.1,45.25,-0.8500023,-1.8619984,144.0,1141.0,0.938477177734375,True,REGULAR,USD
15,AMZN250131C00192500,2025-01-23 16:48:45+00:00,192.5,42.09,40.6,43.4,0.0,0.0,16.0,20.0,1.09375453125,True,REGULAR,USD
16,AMZN250131C00195000,2025-01-24 20:14:58+00:00,195.0,38.59,38.1,40.9,-1.6500015,-4.1004014,26.0,148.0,1.0380907470703127,True,REGULAR,USD
17,AMZN250131C00197500,2025-01-24 20:47:23+00:00,197.5,36.74,36.15,38.4,-1.2599983,-3.3157852,22.0,30.0,0.98242205078125,True,REGULAR,USD
18,AMZN250131C00200000,2025-01-24 20:56:12+00:00,200.0,35.17,34.55,35.6,-0.33000183,-0.9295826,282.0,2555.0,0.6709017285156251,True,REGULAR,USD
19,AMZN250131C00202500,2025-01-24 20:47:23+00:00,202.5,31.75,31.55,33.4,-0.5,-1.5503876,103.0,573.0,0.569340244140625,True,REGULAR,USD
20,AMZN250131C00205000,2025-01-24 20:32:14+00:00,205.0,28.85,29.9,30.95,-0.8199997,-2.7637334,51.0,290.0,0.7045927978515626,True,REGULAR,USD
21,AMZN250131C00207500,2025-01-24 20:44:12+00:00,207.5,26.67,27.35,28.4,-1.1599998,-4.1681633,60.0,230.0,0.641605146484375,True,REGULAR,USD
22,AMZN250131C00210000,2025-01-24 20:55:00+00:00,210.0,24.8,24.75,25.9,-0.0700016,-0.28147003,407.0,645.0,0.5786174951171875,True,REGULAR,USD
23,AMZN250131C00212500,2025-01-24 20:56:16+00:00,212.5,22.4,22.3,23.1,1.1099987,5.2137094,37.0,74.0,0.5932657861328126,True,REGULAR,USD
24,AMZN250131C00215000,2025-01-24 20:57:58+00:00,215.0,20.23,19.9,20.45,-0.020000458,-0.09876769,406.0,1862.0,0.5097705273437501,True,REGULAR,USD
25,AMZN250131C00217500,2025-01-24 20:50:55+00:00,217.5,17.16,17.35,18.5,0.32999992,1.9607838,413.0,643.0,0.5549360913085939,True,REGULAR,USD
26,AMZN250131C00220000,2025-01-24 20:59:48+00:00,220.0,15.08,14.75,15.7,-0.77000046,-4.8580465,288.0,3691.0,0.45093322509765627,True,REGULAR,USD
27,AMZN250131C00222500,2025-01-24 20:59:54+00:00,222.5,12.89,12.5,13.7,-0.8299999,-6.049562,578.0,1253.0,0.4646049633789063,True,REGULAR,USD
28,AMZN250131C00225000,2025-01-24 20:57:52+00:00,225.0,10.81,10.5,10.75,-0.75,-6.487889,1546.0,8605.0,0.3452213916015625,True,REGULAR,USD
29,AMZN250131C00227500,2025-01-24 20:59:44+00:00,227.5,8.5,8.4,8.6,-1.0,-10.526316,428.0,1994.0,0.3266668896484375,True,REGULAR,USD
30,AMZN250131C00230000,2025-01-24 20:58:43+00:00,230.0,6.62,6.5,6.65,-0.89000034,-11.85087,3780.0,7302.0,0.3142158422851562,True,REGULAR,USD
31,AMZN250131C00232500,2025-01-24 20:59:51+00:00,232.5,4.88,4.8,4.95,-0.9200001,-15.86207,4718.0,4214.0,0.30591514404296877,True,REGULAR,USD
32,AMZN250131C00235000,2025-01-24 20:59:59+00:00,235.0,3.5,3.4,3.5,-0.8699999,-19.908466,14775.0,10737.0,0.2974923767089843,False,REGULAR,USD
33,AMZN250131C00237500,2025-01-24 20:59:49+00:00,237.5,2.33,2.32,2.36,-0.8700001,-27.187502,8060.0,2724.0,0.2919992675781249,False,REGULAR,USD
34,AMZN250131C00240000,2025-01-24 20:59:59+00:00,240.0,1.49,1.49,1.52,-0.80999994,-35.21739,14988.0,19824.0,0.2890696093749999,False,REGULAR,USD
35,AMZN250131C00242500,2025-01-24 20:59:57+00:00,242.5,0.94,0.91,0.95,-0.63000005,-40.12739,3208.0,2022.0,0.28955788574218744,False,REGULAR,USD
36,AMZN250131C00245000,2025-01-24 20:59:55+00:00,245.0,0.56,0.54,0.57,-0.49999994,-47.169807,6113.0,6767.0,0.29053443847656246,False,REGULAR,USD
37,AMZN250131C00247500,2025-01-24 20:59:49+00:00,247.5,0.33,0.32,0.34,-0.39000002,-54.166668,1829.0,14353.0,0.29395237304687494,False,REGULAR,USD
38,AMZN250131C00250000,2025-01-24 20:59:52+00:00,250.0,0.19,0.19,0.2,-0.3,-61.22449,7202.0,7314.0,0.29883513671874995,False,REGULAR,USD
39,AMZN250131C00252500,2025-01-24 20:58:55+00:00,252.5,0.11,0.11,0.12,0.11,,2896.0,1207.0,0.305671005859375,False,REGULAR,USD
40,AMZN250131C00255000,2025-01-24 20:59:00+00:00,255.0,0.08,0.06,0.08,-0.13,-61.904762,326.0,1900.0,0.317389638671875,False,REGULAR,USD
41,AMZN250131C00257500,2025-01-24 20:20:46+00:00,257.5,0.04,0.04,0.06,0.04,,138.0,437.0,0.33399103515625,False,REGULAR,USD
42,AMZN250131C00260000,2025-01-24 20:49:09+00:00,260.0,0.04,0.02,0.04,-0.050000004,-55.555557,514.0,1524.0,0.34570966796874997,False,REGULAR,USD
43,AMZN250131C00262500,2025-01-24 20:20:56+00:00,262.5,0.01,0.01,0.03,0.01,,83.0,,0.35938140625,False,REGULAR,USD
44,AMZN250131C00265000,2025-01-24 20:59:23+00:00,265.0,0.02,0.01,0.02,-0.02,-50.0,155.0,694.0,0.367193828125,False,REGULAR,USD
45,AMZN250131C00267500,2025-01-24 20:55:49+00:00,267.5,0.01,0.0,0.01,0.01,,213.0,,0.367193828125,False,REGULAR,USD
46,AMZN250131C00270000,2025-01-24 20:39:52+00:00,270.0,0.02,0.0,0.01,0.0,0.0,36.0,1491.0,0.39063109375,False,REGULAR,USD
47,AMZN250131C00275000,2025-01-24 14:30:01+00:00,275.0,0.02,0.0,0.01,0.01,100.0,201.0,1124.0,0.437505625,False,REGULAR,USD
48,AMZN250131C00280000,2025-01-24 20:38:45+00:00,280.0,0.01,0.0,0.01,0.0,0.0,1152.0,1447.0,0.48438015625,False,REGULAR,USD
49,AMZN250131C00285000,2025-01-24 18:48:29+00:00,285.0,0.01,0.0,0.01,0.0,0.0,21.0,236.0,0.500005,False,REGULAR,USD
50,AMZN250131C00290000,2025-01-16 14:50:45+00:00,290.0,0.01,0.0,0.01,0.0,0.0,1.0,7.0,0.5312546875,False,REGULAR,USD
51,AMZN250131C00295000,2025-01-13 20:18:14+00:00,295.0,0.01,0.0,0.01,0.0,0.0,200.0,253.0,0.5625043750000001,False,REGULAR,USD
52,AMZN250131C00300000,2025-01-23 20:10:27+00:00,300.0,0.01,0.0,0.01,0.0,0.0,1.0,18.0,0.6093789062500001,False,REGULAR,USD
53,AMZN250131C00305000,2025-01-22 15:07:16+00:00,305.0,0.01,0.0,0.01,0.0,0.0,1.0,1.0,0.6562534375000001,False,REGULAR,USD
54,AMZN250131C00310000,2025-01-22 15:02:17+00:00,310.0,0.01,0.0,0.01,0.01,,,20.0,0.6875031250000001,False,REGULAR,USD
55,AMZN250131C00340000,2025-01-02 16:02:38+00:00,340.0,0.01,0.0,0.01,0.0,0.0,,300.0,0.87500125,False,REGULAR,USD
56,AMZN250131C00345000,2025-01-22 15:18:22+00:00,345.0,0.01,0.0,0.01,0.01,,,1.0,0.9062509375,False,REGULAR,USD
