,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250516C00100000,2025-01-14 17:52:53+00:00,100.0,119.3,134.05,137.4,0.0,0.0,8,25,0.8369156933593749,True,REGULAR,USD
1,AMZN250516C00110000,2024-12-27 16:40:02+00:00,110.0,114.9,124.2,127.55,0.0,0.0,1,1,0.7744163183593751,True,REGULAR,USD
2,AMZN250516C00115000,2025-01-21 14:40:26+00:00,115.0,117.15,119.3,122.65,0.0,0.0,2,2,0.7468287036132812,True,REGULAR,USD
3,AMZN250516C00120000,2025-01-21 18:46:48+00:00,120.0,113.2,114.5,117.75,0.0,0.0,21,28,0.7251004052734374,True,REGULAR,USD
4,AMZN250516C00125000,2025-01-15 18:22:23+00:00,125.0,99.57,110.45,112.85,0.0,0.0,12,20,0.7380397290039062,True,REGULAR,USD
5,AMZN250516C00130000,2024-12-30 20:59:04+00:00,130.0,94.63,106.0,107.9,0.0,0.0,1,1723,0.723513507080078,True,REGULAR,USD
6,AMZN250516C00135000,2025-01-14 16:29:26+00:00,135.0,86.44,101.6,103.05,0.0,0.0,2,5,0.711916943359375,True,REGULAR,USD
7,AMZN250516C00140000,2025-01-24 15:12:06+00:00,140.0,97.85,96.75,97.75,10.199997,11.63719,1,147,0.6679720703125002,True,REGULAR,USD
8,AMZN250516C00145000,2025-01-07 16:34:05+00:00,145.0,82.3,91.0,92.9,0.0,0.0,1,27,0.6102333898925782,True,REGULAR,USD
9,AMZN250516C00150000,2025-01-24 20:58:11+00:00,150.0,87.7,86.1,88.5,10.099998,13.015463,5,33,0.5972940661621093,True,REGULAR,USD
10,AMZN250516C00155000,2025-01-23 19:07:54+00:00,155.0,81.3,82.2,83.15,0.0,0.0,1,287,0.5835002587890624,True,REGULAR,USD
11,AMZN250516C00160000,2025-01-22 16:16:35+00:00,160.0,77.15,75.95,78.85,0.0,0.0,2,41,0.5330857238769531,True,REGULAR,USD
12,AMZN250516C00165000,2025-01-23 18:43:55+00:00,165.0,72.05,72.55,74.1,0.0,0.0,1,32,0.545048494873047,True,REGULAR,USD
13,AMZN250516C00170000,2025-01-21 16:47:28+00:00,170.0,64.0,67.5,69.2,0.0,0.0,21,699,0.5109912182617188,True,REGULAR,USD
14,AMZN250516C00175000,2025-01-22 15:42:14+00:00,175.0,64.0,63.1,64.5,0.0,0.0,2,69,0.5225267474365234,True,REGULAR,USD
15,AMZN250516C00180000,2025-01-22 20:30:08+00:00,180.0,57.92,58.7,59.4,0.0,0.0,26,215,0.4828542926025391,True,REGULAR,USD
16,AMZN250516C00185000,2025-01-24 18:56:32+00:00,185.0,53.25,54.15,54.85,-0.25,-0.46728972,8,99,0.4631401342773438,True,REGULAR,USD
17,AMZN250516C00190000,2025-01-24 19:33:31+00:00,190.0,48.7,49.8,50.25,-0.579998,-1.1769441,30,206,0.4404963177490234,True,REGULAR,USD
18,AMZN250516C00195000,2025-01-24 19:07:03+00:00,195.0,44.24,45.35,46.25,-0.98999786,-2.1888082,1,225,0.4343318286132813,True,REGULAR,USD
19,AMZN250516C00200000,2025-01-24 19:38:45+00:00,200.0,40.2,41.3,41.85,-2.0,-4.7393365,62,1663,0.4138547384643554,True,REGULAR,USD
20,AMZN250516C00205000,2025-01-24 19:56:45+00:00,205.0,36.4,37.2,37.75,-1.699997,-4.4619346,48,335,0.39929799926757814,True,REGULAR,USD
21,AMZN250516C00210000,2025-01-24 20:21:51+00:00,210.0,32.64,33.4,33.85,-0.47000122,-1.4195144,46,636,0.3868774691772461,True,REGULAR,USD
22,AMZN250516C00215000,2025-01-24 20:55:12+00:00,215.0,30.05,29.7,30.35,-0.75,-2.435065,6,466,0.3803772900390625,True,REGULAR,USD
23,AMZN250516C00220000,2025-01-24 20:32:22+00:00,220.0,25.85,26.4,26.8,-0.29999924,-1.1472247,15,1632,0.3690553817749024,True,REGULAR,USD
24,AMZN250516C00225000,2025-01-24 19:34:19+00:00,225.0,22.42,23.3,23.7,-0.7800007,-3.362072,62,2633,0.3634707208251954,True,REGULAR,USD
25,AMZN250516C00230000,2025-01-24 20:55:31+00:00,230.0,20.5,20.3,20.6,-0.6000004,-2.8436036,57,15152,0.3539188143920897,True,REGULAR,USD
