,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250417C00085000,2025-01-23 16:37:19+00:00,85.0,150.35,149.05,151.75,0.0,0.0,15,21,1.05859845703125,True,REGULAR,USD
1,AMZN250417C00090000,2024-12-27 17:13:22+00:00,90.0,133.25,145.45,146.75,0.0,0.0,1,3,1.1555218005371093,True,REGULAR,USD
2,AMZN250417C00095000,2025-01-23 15:50:56+00:00,95.0,140.65,140.55,141.85,0.0,0.0,1,2,1.1125532653808592,True,REGULAR,USD
3,AMZN250417C00100000,2025-01-22 15:09:51+00:00,100.0,135.55,134.4,136.9,0.0,0.0,10,25,0.9589847851562499,True,REGULAR,USD
4,AMZN250417C00105000,2025-01-22 14:36:53+00:00,105.0,128.03,129.3,132.0,0.0,0.0,1,56,0.9091805957031249,True,REGULAR,USD
5,AMZN250417C00110000,2024-11-13 17:02:36+00:00,110.0,105.33,119.6,120.2,0.0,0.0,1,6,1.0000000000000003e-05,True,REGULAR,USD
6,AMZN250417C00115000,2025-01-13 20:54:41+00:00,115.0,105.25,119.4,122.1,0.0,0.0,1,13,0.833741896972656,True,REGULAR,USD
7,AMZN250417C00120000,2025-01-13 19:12:36+00:00,120.0,100.07,115.3,117.05,0.0,0.0,1,140,0.8500991552734375,True,REGULAR,USD
8,AMZN250417C00125000,2025-01-14 18:38:21+00:00,125.0,95.55,109.55,112.25,0.0,0.0,1,16,0.7690452783203126,True,REGULAR,USD
9,AMZN250417C00130000,2025-01-23 20:17:41+00:00,130.0,105.86,106.0,107.3,0.0,0.0,3,56,0.8129901513671874,True,REGULAR,USD
10,AMZN250417C00135000,2025-01-15 18:22:17+00:00,135.0,89.12,100.1,102.4,0.0,0.0,6,38,0.7280300634765625,True,REGULAR,USD
11,AMZN250417C00140000,2025-01-23 17:29:11+00:00,140.0,95.0,96.15,97.3,0.0,0.0,1,195,0.7329128271484374,True,REGULAR,USD
12,AMZN250417C00145000,2025-01-03 19:17:43+00:00,145.0,81.76,91.25,92.3,0.0,0.0,1,66,0.6955596850585939,True,REGULAR,USD
13,AMZN250417C00150000,2025-01-21 16:48:42+00:00,150.0,82.37,86.35,87.35,0.0,0.0,2,851,0.6611362011718751,True,REGULAR,USD
14,AMZN250417C00155000,2025-01-21 17:14:20+00:00,155.0,78.64,81.25,82.55,0.0,0.0,2,578,0.6252478881835939,True,REGULAR,USD
15,AMZN250417C00160000,2025-01-24 20:19:37+00:00,160.0,75.6,76.6,77.55,0.22999573,0.30515552,8,1869,0.5986368261718751,True,REGULAR,USD
16,AMZN250417C00165000,2025-01-23 20:47:48+00:00,165.0,72.05,71.5,72.6,0.0,0.0,1,470,0.5585981640625001,True,REGULAR,USD
17,AMZN250417C00170000,2025-01-24 20:09:04+00:00,170.0,65.95,66.75,67.9,-0.75,-1.1244378,4,814,0.5379684875488282,True,REGULAR,USD
18,AMZN250417C00175000,2025-01-24 20:58:32+00:00,175.0,62.55,62.05,62.7,1.8400002,3.0308025,35,558,0.5033008654785156,True,REGULAR,USD
19,AMZN250417C00180000,2025-01-24 20:55:03+00:00,180.0,57.55,57.35,57.95,0.3999977,0.6999085,15,878,0.49573258178710944,True,REGULAR,USD
20,AMZN250417C00185000,2025-01-24 20:28:47+00:00,185.0,51.64,52.6,53.25,-1.9599991,-3.6567147,11,926,0.471684970703125,True,REGULAR,USD
21,AMZN250417C00190000,2025-01-24 18:36:05+00:00,190.0,47.39,47.95,48.95,-0.3600006,-0.75392795,16,1412,0.4626518579101563,True,REGULAR,USD
22,AMZN250417C00195000,2025-01-24 20:31:47+00:00,195.0,42.65,43.4,44.1,-0.9300003,-2.134007,10,953,0.4292049267578125,True,REGULAR,USD
23,AMZN250417C00200000,2025-01-24 20:37:04+00:00,200.0,38.25,38.95,39.4,-1.6399994,-4.1113043,3536,3630,0.40064075927734377,True,REGULAR,USD
24,AMZN250417C00205000,2025-01-24 19:12:15+00:00,205.0,33.6,34.9,35.2,-1.3100014,-3.7525103,83,2298,0.3869690209960937,True,REGULAR,USD
25,AMZN250417C00210000,2025-01-24 20:39:30+00:00,210.0,29.93,30.75,31.0,-1.5900002,-5.044417,66,6210,0.3695131408691406,True,REGULAR,USD
26,AMZN250417C00215000,2025-01-24 20:55:00+00:00,215.0,26.8,26.8,27.15,-0.49000168,-1.7955356,8,2118,0.35816071533203125,True,REGULAR,USD
27,AMZN250417C00220000,2025-01-24 20:50:00+00:00,220.0,23.0,23.2,23.5,-0.35000038,-1.4989309,110,2369,0.3472355316162109,True,REGULAR,USD
28,AMZN250417C00225000,2025-01-24 20:59:36+00:00,225.0,20.14,19.95,20.1,-0.460001,-2.2330143,135,7639,0.3373479351806641,True,REGULAR,USD
29,AMZN250417C00230000,2025-01-24 20:59:44+00:00,230.0,17.0,16.9,17.05,-0.5400009,-3.0786824,5910,8195,0.3301153414916992,True,REGULAR,USD
30,AMZN250417C00235000,2025-01-24 20:59:48+00:00,235.0,14.2,14.15,14.3,-0.5500002,-3.7288148,495,8566,0.3238593005371093,False,REGULAR,USD
31,AMZN250417C00240000,2025-01-24 20:58:59+00:00,240.0,11.85,11.75,11.85,-0.39999962,-3.265303,286,4138,0.31830515686035155,False,REGULAR,USD
32,AMZN250417C00245000,2025-01-24 20:58:17+00:00,245.0,9.71,9.55,9.7,-0.39000034,-3.8613894,609,3174,0.3133003240966796,False,REGULAR,USD
33,AMZN250417C00250000,2025-01-24 20:56:18+00:00,250.0,7.9,7.75,7.85,-0.33999968,-4.1262097,290,12425,0.3090889404296875,False,REGULAR,USD
34,AMZN250417C00255000,2025-01-24 20:59:41+00:00,255.0,6.3,6.2,6.35,-0.3499999,-5.2631564,1910,4679,0.3072273867797851,False,REGULAR,USD
35,AMZN250417C00260000,2025-01-24 20:57:52+00:00,260.0,4.95,4.95,5.05,-0.1500001,-2.9411783,177,7128,0.3045723840332031,False,REGULAR,USD
36,AMZN250417C00265000,2025-01-24 20:59:36+00:00,265.0,3.94,3.9,4.0,-0.25999975,-6.1904707,77,6252,0.3030465203857422,False,REGULAR,USD
37,AMZN250417C00270000,2025-01-24 20:55:53+00:00,270.0,3.1,3.05,3.15,0.089999914,2.9900303,178,1739,0.3020699676513672,False,REGULAR,USD
38,AMZN250417C00275000,2025-01-24 20:25:46+00:00,275.0,2.26,2.38,2.44,-0.21000004,-8.502026,81,603,0.3004220349121094,False,REGULAR,USD
39,AMZN250417C00280000,2025-01-24 20:02:12+00:00,280.0,1.72,1.85,1.9,-0.110000014,-6.0109296,93,750,0.3002999658203125,False,REGULAR,USD
40,AMZN250417C00285000,2025-01-24 20:08:58+00:00,285.0,1.36,1.43,1.48,-0.13999999,-9.333333,12,487,0.3006661730957031,False,REGULAR,USD
41,AMZN250417C00290000,2025-01-24 20:55:00+00:00,290.0,1.11,1.11,1.16,-0.08000004,-6.7226925,34,2581,0.3020089331054688,False,REGULAR,USD
42,AMZN250417C00295000,2025-01-24 20:48:05+00:00,295.0,0.83,0.86,0.9,0.0,0.0,7,333,0.30274134765625,False,REGULAR,USD
43,AMZN250417C00300000,2025-01-24 20:59:12+00:00,300.0,0.71,0.67,0.71,-0.04000002,-5.333336,148,6551,0.30493859130859374,False,REGULAR,USD
44,AMZN250417C00305000,2025-01-24 20:44:43+00:00,305.0,0.52,0.52,0.56,0.0,0.0,8,163,0.30689169677734374,False,REGULAR,USD
45,AMZN250417C00310000,2025-01-23 16:22:24+00:00,310.0,0.45,0.41,0.44,0.0,0.0,1,438,0.30884480224609373,False,REGULAR,USD
46,AMZN250417C00315000,2025-01-23 20:38:04+00:00,315.0,0.35,0.32,0.36,0.0,0.0,6,20,0.3127510131835937,False,REGULAR,USD
47,AMZN250417C00320000,2025-01-24 20:42:08+00:00,320.0,0.26,0.26,0.29,-0.01000002,-3.7037113,96,14513,0.31592480957031244,False,REGULAR,USD
48,AMZN250417C00325000,2025-01-24 19:17:04+00:00,325.0,0.21,0.2,0.24,0.0,0.0,3,31,0.3198310205078124,False,REGULAR,USD
49,AMZN250417C00330000,2025-01-23 18:30:06+00:00,330.0,0.18,0.16,0.19,0.0,0.0,3,80,0.3217841259765625,False,REGULAR,USD
50,AMZN250417C00335000,2025-01-21 19:50:38+00:00,335.0,0.11,0.13,0.16,0.0,0.0,13,71,0.32617861328125,False,REGULAR,USD
