,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250919P00065000,2025-01-21 20:38:31+00:00,65.0,0.06,0.04,0.09,0.0,0.0,10.0,361,0.5937540625000001,False,REGULAR,USD
1,AMZN250919P00070000,2025-01-15 19:47:49+00:00,70.0,0.09,0.04,0.11,0.0,0.0,35.0,136,0.570316796875,False,REGULAR,USD
2,AMZN250919P00075000,2025-01-15 19:48:28+00:00,75.0,0.11,0.06,0.12,0.0,0.0,35.0,98,0.5488326367187502,False,REGULAR,USD
3,AMZN250919P00080000,2025-01-15 19:48:53+00:00,80.0,0.15,0.1,0.15,0.0,0.0,28.0,581,0.5390671093750001,False,REGULAR,USD
4,AMZN250919P00085000,2025-01-15 19:49:21+00:00,85.0,0.19,0.11,0.17,0.0,0.0,19.0,204,0.51758294921875,False,REGULAR,USD
5,AMZN250919P00090000,2025-01-15 19:49:56+00:00,90.0,0.23,0.13,0.2,0.0,0.0,14.0,181,0.5117236328125,False,REGULAR,USD
6,AMZN250919P00095000,2025-01-24 17:50:27+00:00,95.0,0.2,0.19,0.23,-0.019999996,-9.090907,1.0,117,0.4936574072265626,False,REGULAR,USD
7,AMZN250919P00100000,2025-01-23 20:21:06+00:00,100.0,0.28,0.23,0.27,0.0,0.0,7.0,1398,0.477544287109375,False,REGULAR,USD
8,AMZN250919P00105000,2025-01-23 20:20:44+00:00,105.0,0.33,0.27,0.32,0.0,0.0,5.0,81,0.4633842724609375,False,REGULAR,USD
9,AMZN250919P00110000,2025-01-23 20:20:18+00:00,110.0,0.38,0.32,0.37,0.0,0.0,5.0,145,0.44824770507812495,False,REGULAR,USD
10,AMZN250919P00115000,2025-01-21 18:39:22+00:00,115.0,0.45,0.39,0.43,0.0,0.0,20.0,370,0.4338435522460938,False,REGULAR,USD
11,AMZN250919P00120000,2025-01-22 15:14:32+00:00,120.0,0.47,0.46,0.5,0.0,0.0,1.0,303,0.4204159521484375,False,REGULAR,USD
12,AMZN250919P00125000,2025-01-22 15:32:35+00:00,125.0,0.57,0.54,0.58,0.0,0.0,1.0,948,0.407232490234375,False,REGULAR,USD
13,AMZN250919P00130000,2025-01-23 17:15:37+00:00,130.0,0.68,0.64,0.68,0.0,0.0,1.0,2450,0.3952697192382813,False,REGULAR,USD
14,AMZN250919P00135000,2025-01-24 19:00:37+00:00,135.0,0.8,0.76,0.8,0.00999999,1.2658215,3.0,2678,0.38403936279296874,False,REGULAR,USD
15,AMZN250919P00140000,2025-01-23 20:56:12+00:00,140.0,0.94,0.9,0.94,0.0,0.0,50.0,7238,0.37317521362304684,False,REGULAR,USD
16,AMZN250919P00145000,2025-01-23 14:46:45+00:00,145.0,1.14,1.07,1.12,0.0,0.0,1.0,3059,0.36377589355468753,False,REGULAR,USD
17,AMZN250919P00150000,2025-01-24 16:27:36+00:00,150.0,1.34,1.28,1.32,0.0,0.0,5.0,7048,0.3540103662109374,False,REGULAR,USD
18,AMZN250919P00155000,2025-01-21 16:57:22+00:00,155.0,1.81,1.54,1.58,0.0,0.0,4.0,3186,0.3459538061523437,False,REGULAR,USD
19,AMZN250919P00160000,2025-01-24 20:59:42+00:00,160.0,1.84,1.83,1.89,-0.14999998,-7.537688,5.0,4016,0.3382634533691406,False,REGULAR,USD
20,AMZN250919P00165000,2025-01-22 15:07:10+00:00,165.0,2.32,2.19,2.26,0.0,0.0,16.0,3542,0.331061376953125,False,REGULAR,USD
